语例ID,主语(目标域),谓语(源域),谓语中心词,主语中心词,源域,源域名称,目标域,目标域名称,映射方向,映射方向标签,CFMC源域频次,C_entrench,BCC词频,L_entrench,余弦相似度,Sem_dist,修饰成分,Con_cue,D_reg客观基线,D_trans客观基线,CA客观基线,CA基线等级
xb_01330,居民,社区建设的主体,主体,居民,HM,人体,AB,抽象,4,抽象→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01331,机队机型,民航硬件资源的核心,核心,机型,OB,物体,AB,抽象,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01332,一个国家航天业发展状况,整体科技水平的缩影,缩影,状况,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01333,企业,主体,主体,企业,HM,人体,AB,抽象,4,抽象→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01334,美帝国主义,反革命的老根,老根,帝国主义,LV,生命,AB,抽象,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_01335,中国工人阶级,祖国一切优秀遗产的真正继承者,继承者,阶级,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01336,电力,公益事业,事业,电力,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01337,我们两党、两国人民间所建立的亲密关系,国际主义合作的光辉榜样,榜样,关系,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01338,药品,医院收入的一大来源,来源,药品,OB,物体,AB,抽象,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01339,农民,乡村振兴的主体,主体,农民,HM,人体,AB,抽象,4,抽象→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01340,小岛,对敌斗争的战场,战场,小岛,WR,战争,AB,抽象,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_01341,人的内耳,音乐爱好者的秘密所在,所在,内耳,OB,物体,AB,抽象,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01342,它剩下的家底,存款1亿元,存款,家底,EC,经济,AB,抽象,2,具体→抽象,129,0.6871,,,,,,,0.2748,,0.1512,1
xb_01343,最后的结局,原地踏步,踏步,结局,MV,运动,AB,抽象,2,具体→抽象,6,0.2747,,,,,,,0.1099,,0.0604,1
xb_01344,优美的环境,"经济发展的""推进器""","器""",环境,MC,医疗,AB,抽象,2,具体→抽象,32,0.4936,,,,,,,0.1974,,0.1086,1
xb_01345,施肥技术,油菜增产的关键性措施,措施,技术,HM,人体,AB,抽象,3,抽象→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01346,经济,政治的物质基础,基础,经济,OB,物体,AB,抽象,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01347,城市经营的主体,政府,政府,主体,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01348,决定的因素,人不是物,物,因素,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01349,红领巾,红旗的一角,一角,红领巾,OB,物体,AB,抽象,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01350,军队,国家政权的主要成份,成份,军队,HM,人体,AB,抽象,4,抽象→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01351,蒙古国的主要经济支柱,矿业,矿业,支柱,HM,人体,AB,抽象,3,抽象→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01352,党的政策,党的生命,生命,政策,LV,生命,AB,抽象,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
