,阶段,变量,字段名,N,均值,标准差,最小值,最大值,偏度,峰度
0,eta1_认知域激活,具身体验,embodied_experience,5989,0.717,0.164,0.0,1.0,-0.6,0.612
1,eta1_认知域激活,源域,source_domain_num,5989,3.866,4.093,1.0,23.0,1.876,3.329
2,eta1_认知域激活,目标域,target_domain_num,5989,2.965,3.032,1.0,20.0,2.023,4.19
3,eta2_参照点锚定,常规度,conventionality,5989,0.81,0.165,0.1,1.0,-1.214,1.234
4,eta3_跨域映射,映射基础,mapping_basis_num,5989,1.238,0.879,1.0,7.0,4.42,21.251
5,eta3_跨域映射,系统性,systematicity,5989,0.814,0.135,0.2,1.0,-1.114,1.506
6,eta3_跨域映射,蕴涵丰富度,entailment_richness,5989,0.765,0.157,0.06,1.0,-0.985,2.525
7,X11_系词功能,系词功能,copula_function_num,5989,1.718,0.663,1.0,3.0,0.385,-0.775
