,变量英文,变量中文,N,M,SD,Min,Max,Median,偏度,峰度
0,cognitive_accessibility,认知通达度,5989,3.7308,0.5727,2.0,5.0,4.0,-0.2394,0.0163
1,conceptual_complexity,概念复杂度,5989,2.5477,0.7783,1.0,4.0,2.0,0.4555,-0.5244
2,mapping_direction,映射方向,5989,2.3014,1.0122,1.0,4.0,2.0,0.0928,-1.1613
3,conventionality,常规度,5989,0.8098,0.1651,0.1,1.0,0.85,-1.2144,1.2339
4,systematicity,系统性,5989,0.8144,0.1351,0.2,1.0,0.85,-1.1142,1.5062
5,entailment_richness,蕴涵丰富度,5989,0.7645,0.1567,0.06,1.0,0.75,-0.9851,2.5247
6,embodied_experience,具身体验,5989,0.7174,0.1636,0.0,1.0,0.75,-0.6004,0.6123
7,prototype_distance,原型距离,5989,1.5118,0.6671,1.0,3.0,1.0,0.9428,-0.2893
