路径,系数符号,n,b(交互),SE,t,p,ΔR²,显著性,FDR(BH) q,Bonferroni提示,Bonferroni阈值
eta1->eta2,beta₁,5908,0.041521806844990156,0.01216881304900802,3.4121492932603594,0.0006488562823492305,0.0018934603114451054,***,0.0012227620282200629,通过,0.0125
eta2->eta3,beta₂,5908,-0.039999047850051345,0.012060663419269153,-3.3164881946830076,0.0009170715211650471,0.0016248738781118321,***,0.0012227620282200629,通过,0.0125
eta1->eta3,beta₃,5908,0.01399284517775079,0.011619010174687007,1.2043061299864752,0.22851955515712152,0.00021503827949764798,,0.22851955515712152,未通过,0.0125
eta3->Y,γ,5908,0.04259482728301431,0.011322667214885942,3.7619075501057533,0.000170255335912195,0.0022868839838875443,***,0.00068102134364878,通过,0.0125
